Country,date_data,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious_Critical,Cases_per_1M,Deaths_per_1M,TotalTests,Tests_per_1M,date_download,Continent,Population,ISO3
Philippines,2020-04-07,3764,104,177,14,84,3503,1,34,2,22958,210,2020_04_08_11_00_03_GMT,Asia,NA,PHL
Luxembourg,2020-04-07,2970,127,44,3,500,2426,35,4745,70,25702,41059,2020_04_08_11_00_03_GMT,Europe,NA,LUX
Peru,2020-04-07,2954,393,107,15,1301,1546,109,90,3,21555,654,2020_04_08_11_00_03_GMT,South America,NA,PER
Saudi Arabia,2020-04-07,2795,190,41,3,615,2139,41,80,1,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,SAU
Indonesia,2020-04-07,2738,247,221,12,204,2313,NA,10,0.8,14354,52,2020_04_08_11_00_03_GMT,Asia,NA,IDN
Serbia,2020-04-07,2447,247,61,3,118,2268,109,280,7,9626,1102,2020_04_08_11_00_03_GMT,Europe,NA,SRB
Mexico,2020-04-07,2439,296,125,31,633,1681,89,19,1,20475,159,2020_04_08_11_00_03_GMT,North America,NA,MEX
UAE,2020-04-07,2359,283,12,1,186,2161,1,239,1,220000,22244,2020_04_08_11_00_03_GMT,Asia,NA,ARE
Finland,2020-04-07,2308,132,34,7,300,1974,81,417,6,34900,6299,2020_04_08_11_00_03_GMT,Europe,NA,FIN
Thailand,2020-04-07,2258,38,27,1,888,1343,61,32,0.4,71860,1030,2020_04_08_11_00_03_GMT,Asia,NA,THA
Panama,2020-04-07,2100,NA,55,NA,14,2031,88,487,13,10297,2386,2020_04_08_11_00_03_GMT,North America,NA,PAN
Qatar,2020-04-07,2057,225,6,2,150,1901,37,714,2,41818,14515,2020_04_08_11_00_03_GMT,Asia,NA,QAT
Dominican Republic,2020-04-07,1956,128,98,12,36,1822,147,180,9,4542,419,2020_04_08_11_00_03_GMT,North America,NA,DOM
Greece,2020-04-07,1832,77,81,2,269,1482,90,176,8,28584,2742,2020_04_08_11_00_03_GMT,Europe,NA,GRC
Colombia,2020-04-07,1780,201,50,4,100,1630,76,35,1,30445,598,2020_04_08_11_00_03_GMT,South America,NA,COL
South Africa,2020-04-07,1749,63,13,1,95,1641,7,29,0.2,58098,980,2020_04_08_11_00_03_GMT,Africa,NA,ZAF
Argentina,2020-04-07,1715,87,60,7,338,1317,96,38,1,11778,261,2020_04_08_11_00_03_GMT,South America,NA,ARG
Iceland,2020-04-07,1586,24,6,NA,559,1021,11,4648,18,28991,84957,2020_04_08_11_00_03_GMT,Europe,NA,ISL
Singapore,2020-04-07,1481,106,6,NA,377,1098,29,253,1,65000,11110,2020_04_08_11_00_03_GMT,Asia,NA,SGP
Algeria,2020-04-07,1468,45,193,20,113,1162,46,33,4,3359,77,2020_04_08_11_00_03_GMT,Africa,NA,DZA
Ukraine,2020-04-07,1462,143,45,7,28,1389,16,33,1,6385,146,2020_04_08_11_00_03_GMT,Europe,NA,UKR
Egypt,2020-04-07,1450,128,94,9,276,1080,NA,14,0.9,25000,244,2020_04_08_11_00_03_GMT,Africa,NA,EGY
Croatia,2020-04-07,1282,60,18,2,167,1097,35,312,4,12322,3002,2020_04_08_11_00_03_GMT,Europe,NA,HRV
Morocco,2020-04-07,1184,64,90,10,93,1001,1,32,2,5437,147,2020_04_08_11_00_03_GMT,Africa,NA,MAR
New Zealand,2020-04-07,1160,54,1,NA,241,918,4,241,0.2,42826,8881,2020_04_08_11_00_03_GMT,Australia/Oceania,NA,NZL
Estonia,2020-04-07,1149,41,21,2,69,1059,12,866,16,23546,17750,2020_04_08_11_00_03_GMT,Europe,NA,EST
Iraq,2020-04-07,1122,91,65,1,373,684,NA,28,2,26331,655,2020_04_08_11_00_03_GMT,Asia,NA,IRQ
Slovenia,2020-04-07,1059,38,36,6,102,921,30,509,17,29455,14168,2020_04_08_11_00_03_GMT,Europe,NA,SVN
Moldova,2020-04-07,1056,91,22,3,40,994,80,262,5,5108,1266,2020_04_08_11_00_03_GMT,Europe,NA,MDA
Hong Kong,2020-04-07,936,21,4,NA,236,696,12,125,0.5,96709,12900,2020_04_08_11_00_03_GMT,Asia,NA,HKG
Lithuania,2020-04-07,880,37,15,NA,8,857,11,323,6,27807,10215,2020_04_08_11_00_03_GMT,Europe,NA,LTU
Belarus,2020-04-07,861,161,13,NA,54,794,31,91,1,43000,4551,2020_04_08_11_00_03_GMT,Europe,NA,BLR
Armenia,2020-04-07,853,20,8,NA,87,758,30,288,3,5140,1735,2020_04_08_11_00_03_GMT,Asia,NA,ARM
Hungary,2020-04-07,817,73,47,9,71,699,17,85,5,23746,2458,2020_04_08_11_00_03_GMT,Europe,NA,HUN
Bahrain,2020-04-07,811,55,5,1,458,348,4,477,3,47684,28023,2020_04_08_11_00_03_GMT,Asia,NA,BHR
Bosnia and Herzegovina,2020-04-07,764,90,33,4,68,663,4,233,10,6911,2106,2020_04_08_11_00_03_GMT,Europe,NA,BIH
Kuwait,2020-04-07,743,78,1,NA,105,637,23,174,0.2,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,KWT
Azerbaijan,2020-04-07,717,76,8,1,44,665,23,71,0.8,53300,5257,2020_04_08_11_00_03_GMT,Asia,NA,AZE
Kazakhstan,2020-04-07,697,35,6,NA,51,640,16,37,0.3,54767,2917,2020_04_08_11_00_03_GMT,Asia,NA,KAZ
Cameroon,2020-04-07,685,27,9,NA,60,616,NA,26,0.3,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,CMR
Tunisia,2020-04-07,623,27,23,1,25,575,39,53,2,8274,700,2020_04_08_11_00_03_GMT,Africa,NA,TUN
North Macedonia,2020-04-07,599,29,26,3,30,543,15,288,12,5879,2822,2020_04_08_11_00_03_GMT,Europe,NA,MKD
Slovakia,2020-04-07,581,47,2,NA,13,566,3,106,0.4,17639,3231,2020_04_08_11_00_03_GMT,Europe,NA,SVK
Bulgaria,2020-04-07,577,28,23,1,42,512,21,83,3,15899,2288,2020_04_08_11_00_03_GMT,Europe,NA,BGR
Lebanon,2020-04-07,548,7,19,NA,62,467,29,80,3,10221,1497,2020_04_08_11_00_03_GMT,Asia,NA,LBN
Latvia,2020-04-07,548,6,2,1,16,530,5,291,1,22575,11969,2020_04_08_11_00_03_GMT,Europe,NA,LVA
Andorra,2020-04-07,545,20,22,1,39,484,17,7054,285,1673,21653,2020_04_08_11_00_03_GMT,Europe,NA,AND
Uzbekistan,2020-04-07,520,63,2,NA,30,488,8,16,0.06,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,UZB
Cyprus,2020-04-07,494,29,9,NA,47,438,13,409,7,13017,10781,2020_04_08_11_00_03_GMT,Asia,NA,CYP
Costa Rica,2020-04-07,483,16,2,NA,24,457,14,95,0.4,5525,1085,2020_04_08_11_00_03_GMT,North America,NA,CRI
Uruguay,2020-04-07,424,9,7,1,150,267,14,122,2,5727,1649,2020_04_08_11_00_03_GMT,South America,NA,URY
Afghanistan,2020-04-07,423,56,14,3,18,391,NA,11,0.4,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,AFG
Cuba,2020-04-07,396,46,11,2,27,358,15,35,1,7054,623,2020_04_08_11_00_03_GMT,North America,NA,CUB
Burkina Faso,2020-04-07,384,20,19,1,127,238,NA,18,0.9,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,BFA
Albania,2020-04-07,383,6,22,1,131,230,7,133,8,2753,957,2020_04_08_11_00_03_GMT,Europe,NA,ALB
Taiwan,2020-04-07,376,3,5,NA,61,310,NA,16,0.2,40702,1709,2020_04_08_11_00_03_GMT,Asia,NA,TWN
Oman,2020-04-07,371,40,2,NA,67,302,3,73,0.4,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,OMN
Réunion,2020-04-07,358,9,NA,NA,40,318,4,400,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,REU
Jordan,2020-04-07,353,4,6,NA,138,209,5,35,0.6,17000,1666,2020_04_08_11_00_03_GMT,Asia,NA,JOR
Ivory Coast,2020-04-07,349,26,3,NA,41,305,NA,13,0.1,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,CIV
Channel Islands,2020-04-07,335,12,7,NA,34,294,NA,1927,40,1157,6655,2020_04_08_11_00_03_GMT,Europe,NA,Channel Islands
Honduras,2020-04-07,305,7,22,NA,6,277,10,31,2,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,HND
Malta,2020-04-07,293,52,NA,NA,5,288,4,664,NA,10923,24738,2020_04_08_11_00_03_GMT,Europe,NA,MLT
Ghana,2020-04-07,287,73,5,NA,31,251,2,9,0.2,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,GHA
San Marino,2020-04-07,279,2,34,2,40,205,14,8223,1002,586,17270,2020_04_08_11_00_03_GMT,Europe,NA,SMR
Niger,2020-04-07,278,25,11,1,26,241,NA,11,0.5,4199,173,2020_04_08_11_00_03_GMT,Africa,NA,NER
Mauritius,2020-04-07,268,24,7,NA,8,253,3,211,6,4913,3863,2020_04_08_11_00_03_GMT,Africa,NA,MUS
Palestine,2020-04-07,261,7,1,NA,42,218,NA,51,0.2,15140,2968,2020_04_08_11_00_03_GMT,Asia,NA,PSE
Nigeria,2020-04-07,254,16,6,1,44,204,2,1,0.03,5000,24,2020_04_08_11_00_03_GMT,Africa,NA,NGA
Vietnam,2020-04-07,251,6,NA,NA,123,128,8,3,NA,106399,1093,2020_04_08_11_00_03_GMT,Asia,NA,VNM
Montenegro,2020-04-07,241,8,2,NA,4,235,7,384,3,2014,3207,2020_04_08_11_00_03_GMT,Europe,NA,MNE
Senegal,2020-04-07,237,11,2,NA,105,130,1,14,0.1,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,SEN
Kyrgyzstan,2020-04-07,228,12,4,NA,33,191,5,35,0.6,9618,1474,2020_04_08_11_00_03_GMT,Asia,NA,KGZ
Georgia,2020-04-07,196,8,3,1,46,147,6,49,0.8,2762,692,2020_04_08_11_00_03_GMT,Asia,NA,GEO
Bolivia,2020-04-07,194,11,14,3,2,178,3,17,1,591,51,2020_04_08_11_00_03_GMT,South America,NA,BOL
Sri Lanka,2020-04-07,185,7,6,1,42,137,5,9,0.3,3248,152,2020_04_08_11_00_03_GMT,Asia,NA,LKA
Faeroe Islands,2020-04-07,184,1,NA,NA,120,64,2,3766,NA,5035,103043,2020_04_08_11_00_03_GMT,Europe,NA,FRO
DRC,2020-04-07,180,19,18,NA,9,153,NA,2,0.2,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,COD
Kenya,2020-04-07,172,14,6,NA,7,159,2,3,0.1,4973,92,2020_04_08_11_00_03_GMT,Africa,NA,KEN
Mayotte,2020-04-07,171,7,2,NA,22,147,3,627,7,1100,4032,2020_04_08_11_00_03_GMT,Africa,NA,MYT
Venezuela,2020-04-07,166,1,7,NA,65,94,6,6,0.2,1779,63,2020_04_08_11_00_03_GMT,South America,NA,VEN
Bangladesh,2020-04-07,164,41,17,5,33,114,1,1,0.1,4289,26,2020_04_08_11_00_03_GMT,Asia,NA,BGD
Martinique,2020-04-07,152,1,4,NA,50,98,20,405,11,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,MTQ
Isle of Man,2020-04-07,150,11,1,NA,73,76,6,1764,12,1669,19628,2020_04_08_11_00_03_GMT,Europe,NA,IMN
Guinea,2020-04-07,144,16,NA,NA,5,139,NA,11,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,GIN
Guadeloupe,2020-04-07,139,NA,7,NA,31,101,14,347,17,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,GLP
Brunei,2020-04-07,135,NA,1,NA,85,49,3,309,2,8845,20218,2020_04_08_11_00_03_GMT,Asia,NA,BRN
Paraguay,2020-04-07,115,2,5,NA,15,95,1,16,0.7,2039,286,2020_04_08_11_00_03_GMT,South America,NA,PRY
Cambodia,2020-04-07,115,1,NA,NA,58,57,1,7,NA,5768,345,2020_04_08_11_00_03_GMT,Asia,NA,KHM
Gibraltar,2020-04-07,113,4,NA,NA,60,53,NA,3354,NA,1440,42741,2020_04_08_11_00_03_GMT,Europe,NA,GIB
Trinidad and Tobago,2020-04-07,107,2,8,NA,1,98,NA,76,6,878,627,2020_04_08_11_00_03_GMT,North America,NA,TTO
Rwanda,2020-04-07,105,NA,NA,NA,7,98,NA,8,NA,806,62,2020_04_08_11_00_03_GMT,Africa,NA,RWA
Djibouti,2020-04-07,90,NA,NA,NA,9,81,NA,91,NA,2229,2256,2020_04_08_11_00_03_GMT,Africa,NA,DJI
Madagascar,2020-04-07,88,6,NA,NA,7,81,6,3,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,MDG
Monaco,2020-04-07,79,2,1,NA,4,74,4,2013,25,NA,NA,2020_04_08_11_00_03_GMT,Europe,NA,MCO
El Salvador,2020-04-07,78,9,4,NA,5,69,4,12,0.6,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,SLV
Liechtenstein,2020-04-07,78,1,1,NA,55,22,NA,2046,26,900,23605,2020_04_08_11_00_03_GMT,Europe,NA,LIE
Guatemala,2020-04-07,77,7,3,NA,17,57,3,4,0.2,1134,63,2020_04_08_11_00_03_GMT,North America,NA,GTM
French Guiana,2020-04-07,77,5,NA,NA,34,43,1,258,NA,NA,NA,2020_04_08_11_00_03_GMT,South America,NA,GUF
Aruba,2020-04-07,74,3,NA,NA,14,60,NA,693,NA,954,8935,2020_04_08_11_00_03_GMT,North America,NA,ABW
Togo,2020-04-07,65,7,3,NA,23,39,NA,8,0.4,1617,195,2020_04_08_11_00_03_GMT,Africa,NA,TGO
Barbados,2020-04-07,63,3,3,1,6,54,4,219,10,557,1938,2020_04_08_11_00_03_GMT,North America,NA,BRB
Jamaica,2020-04-07,63,4,3,NA,9,51,NA,21,1,540,182,2020_04_08_11_00_03_GMT,North America,NA,JAM
Mali,2020-04-07,56,9,5,NA,12,39,NA,3,0.2,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,MLI
Ethiopia,2020-04-07,52,8,2,NA,4,46,1,0.5,0.02,2271,20,2020_04_08_11_00_03_GMT,Africa,NA,ETH
Uganda,2020-04-07,52,NA,NA,NA,NA,52,NA,1,NA,3310,72,2020_04_08_11_00_03_GMT,Africa,NA,UGA
French Polynesia,2020-04-07,47,5,NA,NA,NA,47,NA,167,NA,694,2471,2020_04_08_11_00_03_GMT,Australia/Oceania,NA,PYF
Congo,2020-04-07,45,NA,5,NA,2,38,NA,8,0.9,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,COG
Cayman Islands,2020-04-07,45,6,1,NA,6,38,NA,685,15,479,7288,2020_04_08_11_00_03_GMT,North America,NA,CYM
Macao,2020-04-07,44,NA,NA,NA,10,34,1,68,NA,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,MAC
Sint Maarten,2020-04-07,40,3,6,NA,1,33,2,933,140,112,2612,2020_04_08_11_00_03_GMT,North America,NA,SXM
Bermuda,2020-04-07,39,NA,2,NA,17,20,NA,626,32,306,4913,2020_04_08_11_00_03_GMT,North America,NA,BMU
Zambia,2020-04-07,39,NA,1,NA,7,31,NA,2,0.05,619,34,2020_04_08_11_00_03_GMT,Africa,NA,ZMB
Bahamas,2020-04-07,33,NA,6,1,5,22,1,84,15,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,BHS
Guyana,2020-04-07,33,2,5,1,8,20,4,42,6,132,168,2020_04_08_11_00_03_GMT,South America,NA,GUY
Guinea-Bissau,2020-04-07,33,15,NA,NA,NA,33,NA,17,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,GNB
Saint Martin,2020-04-07,32,NA,2,NA,7,23,6,828,52,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,MAF
Eritrea,2020-04-07,31,NA,NA,NA,NA,31,NA,9,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,ERI
Gabon,2020-04-07,30,6,1,NA,1,28,NA,13,0.4,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,GAB
Benin,2020-04-07,26,NA,1,NA,5,20,NA,2,0.08,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,BEN
Haiti,2020-04-07,25,1,1,NA,NA,24,NA,2,0.09,257,23,2020_04_08_11_00_03_GMT,North America,NA,HTI
Tanzania,2020-04-07,24,NA,1,NA,5,18,NA,0.4,0.02,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,TZA
Myanmar,2020-04-07,22,NA,1,NA,NA,21,NA,0.4,0.02,1246,23,2020_04_08_11_00_03_GMT,Asia,NA,MMR
Libya,2020-04-07,20,1,1,NA,1,18,NA,3,0.1,326,47,2020_04_08_11_00_03_GMT,Africa,NA,LBY
Syria,2020-04-07,19,NA,2,NA,3,14,NA,1,0.1,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,SYR
Antigua and Barbuda,2020-04-07,19,4,1,1,NA,18,1,194,10,40,408,2020_04_08_11_00_03_GMT,North America,NA,ATG
Maldives,2020-04-07,19,NA,NA,NA,13,6,NA,35,NA,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,MDV
New Caledonia,2020-04-07,18,NA,NA,NA,1,17,NA,63,NA,2320,8126,2020_04_08_11_00_03_GMT,Australia/Oceania,NA,NCL
Angola,2020-04-07,17,1,2,NA,2,13,NA,0.5,0.06,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,AGO
Equatorial Guinea,2020-04-07,16,NA,NA,NA,3,13,NA,11,NA,854,609,2020_04_08_11_00_03_GMT,Africa,NA,GNQ
Namibia,2020-04-07,16,NA,NA,NA,3,13,NA,6,NA,362,142,2020_04_08_11_00_03_GMT,Africa,NA,NAM
Dominica,2020-04-07,15,NA,NA,NA,1,14,NA,208,NA,293,4070,2020_04_08_11_00_03_GMT,North America,NA,DMA
Fiji,2020-04-07,15,1,NA,NA,NA,15,NA,17,NA,NA,NA,2020_04_08_11_00_03_GMT,Australia/Oceania,NA,FJI
Mongolia,2020-04-07,15,NA,NA,NA,4,11,NA,5,NA,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,MNG
Liberia,2020-04-07,14,NA,3,NA,3,8,NA,3,0.6,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,LBR
Sudan,2020-04-07,14,2,2,NA,2,10,NA,0.3,0.05,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,SDN
Laos,2020-04-07,14,2,NA,NA,NA,14,NA,2,NA,765,105,2020_04_08_11_00_03_GMT,Asia,NA,LAO
Saint Lucia,2020-04-07,14,NA,NA,NA,1,13,NA,76,NA,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,LCA
Curaçao,2020-04-07,13,NA,1,NA,7,5,NA,79,6,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,CUW
Grenada,2020-04-07,12,NA,NA,NA,NA,12,2,107,NA,45,400,2020_04_08_11_00_03_GMT,North America,NA,GRD
Zimbabwe,2020-04-07,11,1,2,1,NA,9,NA,0.7,0.1,371,25,2020_04_08_11_00_03_GMT,Africa,NA,ZWE
Greenland,2020-04-07,11,NA,NA,NA,10,1,NA,194,NA,752,13246,2020_04_08_11_00_03_GMT,North America,NA,GRL
Saint Kitts and Nevis,2020-04-07,11,1,NA,NA,NA,11,NA,207,NA,183,3440,2020_04_08_11_00_03_GMT,North America,NA,KNA
Seychelles,2020-04-07,11,NA,NA,NA,NA,11,NA,112,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,SYC
Suriname,2020-04-07,10,NA,1,NA,NA,9,NA,17,2,NA,NA,2020_04_08_11_00_03_GMT,South America,NA,SUR
Chad,2020-04-07,10,1,NA,NA,2,8,NA,0.6,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,TCD
Mozambique,2020-04-07,10,NA,NA,NA,1,9,NA,0.3,NA,424,14,2020_04_08_11_00_03_GMT,Africa,NA,MOZ
Eswatini,2020-04-07,10,NA,NA,NA,4,6,NA,9,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,SWZ
Nepal,2020-04-07,9,NA,NA,NA,1,8,NA,0.3,NA,1890,65,2020_04_08_11_00_03_GMT,Asia,NA,NPL
Montserrat,2020-04-07,9,3,NA,NA,NA,9,1,1803,NA,36,7212,2020_04_08_11_00_03_GMT,North America,NA,MSR
Malawi,2020-04-07,8,3,1,1,NA,7,1,0.4,0.05,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,MWI
Turks and Caicos,2020-04-07,8,NA,1,NA,NA,7,NA,207,26,61,1576,2020_04_08_11_00_03_GMT,North America,NA,TCA
CAR,2020-04-07,8,NA,NA,NA,NA,8,NA,2,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,CAF
St. Vincent Grenadines,2020-04-07,8,1,NA,NA,1,7,NA,72,NA,56,505,2020_04_08_11_00_03_GMT,North America,NA,VCT
Somalia,2020-04-07,8,1,NA,NA,1,7,NA,0.5,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,SOM
Belize,2020-04-07,7,NA,1,NA,NA,6,1,18,3,268,674,2020_04_08_11_00_03_GMT,North America,NA,BLZ
Cabo Verde,2020-04-07,7,NA,1,NA,1,5,NA,13,2,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,CPV
Vatican City,2020-04-07,7,NA,NA,NA,NA,7,NA,8739,NA,NA,NA,2020_04_08_11_00_03_GMT,Europe,NA,Vatican
Botswana,2020-04-07,6,NA,1,NA,NA,5,NA,3,0.4,1154,491,2020_04_08_11_00_03_GMT,Africa,NA,BWA
Mauritania,2020-04-07,6,NA,1,NA,2,3,NA,1,0.2,67,14,2020_04_08_11_00_03_GMT,Africa,NA,MRT
Nicaragua,2020-04-07,6,NA,1,NA,NA,5,NA,0.9,0.2,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,NIC
St. Barth,2020-04-07,6,NA,NA,NA,1,5,NA,607,NA,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,BLM
Sierra Leone,2020-04-07,6,NA,NA,NA,NA,6,NA,0.8,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,SLE
Bhutan,2020-04-07,5,NA,NA,NA,2,3,NA,6,NA,1166,1511,2020_04_08_11_00_03_GMT,Asia,NA,BTN
Gambia,2020-04-07,4,NA,1,NA,2,1,NA,2,0.4,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,GMB
Sao Tome and Principe,2020-04-07,4,NA,NA,NA,NA,4,NA,18,NA,19,87,2020_04_08_11_00_03_GMT,Africa,NA,STP
Western Sahara,2020-04-07,4,NA,NA,NA,NA,4,NA,7,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,ESH
Anguilla,2020-04-07,3,NA,NA,NA,NA,3,NA,200,NA,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,AIA
British Virgin Islands,2020-04-07,3,NA,NA,NA,NA,3,NA,99,NA,NA,NA,2020_04_08_11_00_03_GMT,North America,NA,VGB
Burundi,2020-04-07,3,NA,NA,NA,NA,3,NA,0.3,NA,NA,NA,2020_04_08_11_00_03_GMT,Africa,NA,BDI
